COUNTRY,YEAR,SUICIDE RATE,GDP RATE,Schizophrenia (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
Denmark,2015,8.1,53254.856,0.254433,5.315579,0.877252,3.281306,1.760998
Denmark,2016,8.2,54467.10452,0.254273,5.314948,0.885161,3.285642,1.747206
Ecuador,2000,6.8,1445.279324,0.195987,4.234674,0.618175,2.913822,1.871933
Ecuador,2005,10.3,3002.136867,0.198344,4.278635,0.654036,2.958563,1.824945
Ecuador,2010,10.2,4633.590358,0.200232,4.29317,0.66498,2.959062,1.803276
Ecuador,2015,8.9,6124.491643,0.202036,4.302069,0.668551,2.970413,1.742634
Ecuador,2016,9.1,6060.093329,0.20247,4.303726,0.669108,2.973805,1.725335
Eritrea,2000,23.4,308.1337836,0.159229,3.66365,0.5282,3.916659,1.824904
Eritrea,2005,20.9,388.5951226,0.159746,3.652574,0.521242,3.907243,1.799854
Eritrea,2010,20.5,667.7441778,0.15832,3.645285,0.519336,3.862112,1.765928
Eritrea,2015,18.7,,0.158428,3.655814,0.522229,3.861327,1.740921
Eritrea,2016,18.3,,0.158544,3.660275,0.523399,3.863449,1.736561
Fiji,2000,11.7,2076.568784,0.233326,3.239609,0.738565,3.160318,1.045721
Fiji,2005,10.2,3659.579329,0.234935,3.244118,0.73737,3.163073,1.047078
Fiji,2010,10.1,3652.527437,0.236818,3.263547,0.744437,3.178691,1.096491
Fiji,2015,10,5390.745258,0.236818,3.263547,0.744437,3.178691,1.096491
Fiji,2016,10,5647.347365,0.236818,3.263547,0.744437,3.178691,1.096491
Finland,2000,21.7,24253.25042,0.267963,3.707368,0.808128,5.345004,2.855875
Finland,2005,16.9,38969.17163,0.268964,3.709293,0.886647,5.069844,2.866131
Finland,2010,16.4,46202.41516,0.268967,3.748035,0.877082,4.981612,2.831877
Finland,2015,12.1,42494.65662,0.262308,3.749912,0.926837,4.857565,2.70387
Finland,2016,13.3,43493.41934,0.259967,3.750722,0.939321,4.825886,2.657734
France,2000,15.8,22364.02939,0.258596,6.757883,1.062672,4.41477,1.403921
France,2005,14.8,34760.18777,0.259043,6.782676,1.162593,4.227,1.442389
France,2010,13.9,40638.334,0.257443,6.663107,1.22055,4.352983,1.497855
France,2015,11.5,36613.37522,0.256537,6.637445,1.204663,4.299326,1.457863
France,2016,10.7,36962.22229,0.256378,6.632055,1.19465,4.278159,1.440362
Grmany,2000,11.2,23718.7467,0.251173,6.758848,0.815481,3.79665,2.16654
Grmany,2005,9.8,34696.62092,0.252344,6.525485,0.868482,3.931693,1.968473
Grmany,2010,9.5,41785.55691,0.251478,6.582874,0.902898,3.927668,2.07312
Grmany,2015,9,41394.65816,0.25172,6.566759,0.893847,3.946206,1.927178
Grmany,2016,8.8,42443.46507,0.251956,6.54799,0.8909,3.949598,1.874791
Greece,2000,2.9,12042.95373,0.25071,5.71693,0.488831,4.235863,1.076459
Greece,2005,2.9,22551.73574,0.253248,5.774413,0.487546,4.377243,1.07953
Greece,2010,2.7,26917.75898,0.254124,5.803853,0.524963,4.32432,1.136287
Greece,2015,3.8,18167.77372,0.2533,5.798518,0.54563,4.231759,1.131753
Greece,2016,3.4,18116.45962,0.253015,5.794717,0.549305,4.208264,1.128556
Guinea,2000,9.7,363.482479,0.165138,2.896073,0.42495,3.516054,0.918353
Guinea,2005,10.4,322.4156816,0.165116,2.895895,0.432593,3.535905,0.924007
Guinea,2010,12.5,672.4244026,0.164815,2.890892,0.434597,3.537796,0.935873
Guinea,2015,13,769.2560137,0.165683,2.896095,0.446693,3.550241,0.942849
Guinea,2016,12.8,733.0207588,0.166012,2.89844,0.450933,3.555368,0.944475
Hungary,2000,26.6,4633.312923,0.200967,3.437519,0.640092,2.965647,2.374936
Hungary,2005,20.5,11205.97134,0.202814,3.45784,0.690743,2.834078,2.257506
Hungary,2010,19.2,13092.23376,0.204445,3.464218,0.722923,2.767358,2.199166
Hungary,2015,14.6,12503.68207,0.205242,3.458544,0.717386,2.754503,2.135476
Hungary,2016,13.3,12839.58454,0.205388,3.45659,0.708897,2.758478,2.121472
Honduras,2000,3,1080.462129,0.18596,2.820064,0.670865,2.670577,1.766204
Honduras,2005,3,1296.694822,0.186628,2.834378,0.682406,2.713694,1.761856
Honduras,2010,2.7,1891.157395,0.1881,2.851968,0.683614,2.729848,1.765862
Honduras,2015,4.6,2286.200039,0.1881,2.851968,0.683614,2.729848,1.765862
Honduras,2016,2.7,2326.297027,0.1881,2.851968,0.683614,2.729848,1.765862
India,2000,19.1,443.314204,0.261842,3.281728,0.503811,3.920528,1.513665
India,2005,17,714.8610803,0.262404,3.310625,0.501926,3.990432,1.482164
India,2010,15.6,1357.563701,0.263676,3.285098,0.500607,3.5259,1.196834
India,2015,12.9,1605.605431,0.260509,3.294846,0.517256,3.515554,1.128306
India,2016,12.1,1729.268021,0.259256,3.298067,0.522072,3.520805,1.125008
Israel,2000,6.8,21027.78173,0.261467,3.017429,0.688687,4.229199,0.54849
Israel,2005,6.6,20549.67114,0.260849,3.017264,0.693844,4.166551,0.54049
Israel,2010,6.6,30659.12775,0.262677,3.077535,0.679954,4.07706,0.519176
Israel,2015,4.5,35855.27504,0.260875,3.071555,0.703864,3.92133,0.503205
Israel,2016,5,37371.62691,0.260075,3.06786,0.710449,3.876893,0.500657
Indonesia,2000,3.8,443.314204,0.22042,3.251813,0.545701,2.623082,0.57376
Indonesia,2005,3.3,714.8610803,0.222085,3.268223,0.549916,2.635058,0.578851
Indonesia,2010,2.9,1357.563701,0.224499,3.2711,0.565929,2.609842,0.643859
